20100603000219 13348.321  3882.334 55836.852 .
20100603000220 13348.259  3882.314 55836.825 .
20100603000221 13348.182  3882.266 55836.858 .
20100603000222 13348.117  3882.183 55836.817 .
20100603000223 13348.079  3882.142 55836.815 .
20100603000224 13347.920  3882.035 55836.793 .
20100603000225 13347.924  3882.066 55836.783 .
20100603000226 13347.950  3881.986 55836.772 .
20100603000227 13347.908  3881.910 55836.740 .
20100603000228 13347.809  3881.884 55836.729 .
20100603000229 13347.744  3881.816 55836.678 .
20100603000230 13347.757  3881.825 55836.703 .
20100603000231 13347.766  3881.836 55836.694 .
20100603000232 13347.802  3881.862 55836.693 .
20100603000233 13347.773  3881.895 55836.650 .
20100603000234 13347.794  3881.942 55836.647 .
20100603000235 13347.781  3881.968 55836.620 .
20100603000236 13347.787  3882.093 55836.607 .
20100603000237 13347.738  3882.169 55836.612 .
20100603000238 13347.821  3882.275 55836.606 .
20100603000239 13347.825  3882.370 55836.585 .
20100603000240 13347.804  3882.464 55836.558 .
20100603000241 13347.778  3882.520 55836.542 .
20100603000242 13347.748  3882.592 55836.518 .
20100603000243 13347.761  3882.689 55836.551 .
20100603000244 13347.663  3882.729 55836.513 .
20100603000245 13347.671  3882.750 55836.556 .
20100603000246 13347.645  3882.766 55836.491 .
20100603000247 13347.630  3882.854 55836.502 .
20100603000248 13347.548  3882.770 55836.517 .
20100603000249 13347.435  3882.756 55836.504 .
20100603000250 13347.426  3882.757 55836.489 .
20100603000251 13347.301  3882.734 55836.483 .
20100603000252 13347.244  3882.651 55836.452 .
20100603000253 13347.146  3882.681 55836.439 .
20100603000254 13347.145  3882.581 55836.390 .
20100603000255 13347.102  3882.560 55836.439 .
20100603000256 13347.025  3882.564 55836.386 .
20100603000257 13346.973  3882.504 55836.399 .
20100603000258 13346.924  3882.443 55836.361 .
20100603000259 13346.874  3882.413 55836.351 .
20100603000300 13346.886  3882.364 55836.371 .
20100603000301 13346.846  3882.292 55836.309 .
20100603000302 13346.744  3882.272 55836.300 .
20100603000303 13346.718  3882.232 55836.243 .
20100603000304 13346.599  3882.145 55836.268 .
20100603000305 13346.617  3882.071 55836.219 .
20100603000306 13346.544  3882.093 55836.208 .
20100603000307 13346.460  3882.058 55836.200 .
20100603000308 13346.322  3881.903 55836.212 .
20100603000309 13346.147  3881.789 55836.192 .
20100603000310 13346.043  3881.727 55836.170 .
20100603000311 13345.941  3881.592 55836.119 .
20100603000312 13345.835  3881.469 55836.094 .
20100603000313 13345.836  3881.418 55836.122 .
20100603000314 13345.762  3881.286 55836.063 .
20100603000315 13345.738  3881.241 55836.052 .
20100603000316 13345.738  3881.141 55836.054 .
20100603000317 13345.674  3881.138 55836.008 .
20100603000318 13345.720  3881.134 55835.976 .
20100603000319 13345.722  3881.081 55836.009 .
20100603000320 13345.815  3881.107 55835.981 .
20100603000321 13345.841  3881.148 55835.955 .
20100603000322 13345.908  3881.210 55835.954 .
20100603000323 13345.898  3881.377 55835.920 .
20100603000324 13345.910  3881.506 55835.929 .
20100603000325 13345.975  3881.708 55835.920 .
20100603000326 13345.997  3881.806 55835.958 .
20100603000327 13346.043  3881.963 55835.920 .
20100603000328 13346.039  3882.100 55835.877 .
20100603000329 13346.062  3882.264 55835.893 .
20100603000330 13346.018  3882.409 55835.866 .
20100603000331 13345.999  3882.458 55835.878 .
20100603000332 13346.009  3882.546 55835.848 .
20100603000333 13346.044  3882.527 55835.831 .
20100603000334 13346.038  3882.591 55835.768 .
20100603000335 13346.024  3882.600 55835.783 .
20100603000336 13346.031  3882.680 55835.832 .
20100603000337 13345.992  3882.680 55835.809 .
20100603000338 13345.922  3882.695 55835.755 .
20100603000339 13345.943  3882.664 55835.735 .
20100603000340 13346.016  3882.657 55835.762 .
20100603000341 13345.950  3882.590 55835.729 .
20100603000342 13345.975  3882.545 55835.675 .
20100603000343 13345.981  3882.520 55835.693 .
20100603000344 13346.037  3882.525 55835.640 .
20100603000345 13345.995  3882.481 55835.624 .
20100603000346 13346.043  3882.418 55835.598 .
20100603000347 13345.974  3882.431 55835.605 .
20100603000348 13346.020  3882.390 55835.588 .
20100603000349 13345.948  3882.418 55835.566 .
20100603000350 13345.995  3882.389 55835.548 .
20100603000351 13346.009  3882.391 55835.543 .
20100603000352 13345.955  3882.387 55835.485 .
20100603000353 13345.980  3882.468 55835.443 .
20100603000354 13345.971  3882.458 55835.484 .
20100603000355 13345.974  3882.469 55835.454 .
20100603000356 13345.958  3882.446 55835.451 .
20100603000357 13345.960  3882.548 55835.437 .
20100603000358 13345.949  3882.597 55835.448 .
20100603000359 13345.952  3882.632 55835.423 .
20100603000400 13345.891  3882.617 55835.386 .
20100603000401 13345.885  3882.663 55835.380 .
20100603000402 13345.886  3882.680 55835.408 .
20100603000403 13345.864  3882.697 55835.375 .
20100603000404 13345.775  3882.671 55835.365 .
20100603000405 13345.730  3882.633 55835.386 .
20100603000406 13345.704  3882.637 55835.343 .
20100603000407 13345.669  3882.550 55835.333 .
20100603000408 13345.581  3882.484 55835.259 .
20100603000409 13345.417  3882.445 55835.278 .
20100603000410 13345.383  3882.423 55835.264 .
20100603000411 13345.315  3882.335 55835.285 .
20100603000412 13345.302  3882.230 55835.271 .
20100603000413 13345.248  3882.138 55835.270 .
20100603000414 13345.185  3881.964 55835.269 .
20100603000415 13345.138  3881.873 55835.243 .
20100603000416 13345.129  3881.821 55835.211 .
20100603000417 13345.158  3881.767 55835.236 .
20100603000418 13345.092  3881.761 55835.197 .
20100603000419 13345.106  3881.750 55835.181 .
20100603000420 13345.156  3881.719 55835.174 .
20100603000421 13345.137  3881.694 55835.133 .
20100603000422 13345.185  3881.722 55835.158 .
20100603000423 13345.250  3881.785 55835.154 .
20100603000424 13345.264  3881.802 55835.125 .
20100603000425 13345.312  3881.827 55835.135 .
20100603000426 13345.339  3881.942 55835.124 .
20100603000427 13345.332  3881.986 55835.097 .
20100603000428 13345.392  3882.046 55835.074 .
20100603000429 13345.371  3882.153 55835.074 .
20100603000430 13345.426  3882.165 55835.084 .
20100603000431 13345.400  3882.303 55835.071 .
20100603000432 13345.404  3882.309 55835.070 .
20100603000433 13345.417  3882.349 55835.059 .
20100603000434 13345.380  3882.367 55835.067 .
20100603000435 13345.437  3882.392 55835.076 .
20100603000436 13345.411  3882.385 55835.040 .
20100603000437 13345.389  3882.392 55835.044 .
20100603000438 13345.362  3882.264 55835.031 .
20100603000439 13345.332  3882.230 55835.025 .
20100603000440 13345.333  3882.196 55835.001 .
20100603000441 13345.286  3882.158 55835.024 .
20100603000442 13345.348  3882.110 55835.023 .
20100603000443 13345.306  3882.075 55834.976 .
20100603000444 13345.278  3882.031 55834.976 .
20100603000445 13345.316  3881.937 55834.966 .
20100603000446 13345.280  3881.924 55834.987 .
20100603000447 13345.333  3881.949 55835.000 .
20100603000448 13345.303  3881.872 55834.954 .
20100603000449 13345.321  3881.882 55834.929 .
20100603000450 13345.356  3881.899 55834.944 .
20100603000451 13345.299  3881.846 55834.935 .
20100603000452 13345.371  3881.793 55834.889 .
20100603000453 13345.354  3881.847 55834.868 .
20100603000454 13345.375  3881.830 55834.884 .
20100603000455 13345.348  3881.775 55834.865 .
20100603000456 13345.416  3881.872 55834.880 .
20100603000457 13345.355  3881.859 55834.822 .
20100603000458 13345.348  3881.874 55834.817 .
20100603000459 13345.365  3881.896 55834.820 .
20100603000500 13345.352  3881.871 55834.812 .
20100603000501 13345.336  3881.907 55834.839 .
20100603000502 13345.391  3881.822 55834.845 .
20100603000503 13345.362  3881.894 55834.872 .
20100603000504 13345.355  3881.953 55834.872 .
20100603000505 13345.352  3881.830 55834.812 .
